geoid,cbsa,metro_name,hri,interval,year
42101000256,37964,"Philadelphia, PA",1.17961336301,1,2000
27123000364,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.18286134832,1,2000
48113000003,19124,"Dallas-Plano-Irving, TX",1.18344989227,1,2000
06037480201,31084,"Los Angeles-Long Beach-Glendale, CA",1.18376551965,1,2000
27053000106,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1.18654753561,1,2000
21117000649,17140,"Cincinnati, OH-KY-IN",1.18764415119,1,2000
42091002045,33874,"Montgomery County-Bucks County-Chester County, PA",1.18796226817,1,2000
06001004047,36084,"Oakland-Hayward-Berkeley, CA",1.18854960062,1,2000
08101000015,39380,"Pueblo, CO",1.18886924894,1,2000
48245000063,13140,"Beaumont-Port Arthur, TX",1.1894894709,1,2000
26163005506,19804,"Detroit-Dearborn-Livonia, MI",1.19001617469,1,2000
24510280401,12580,"Baltimore-Columbia-Towson, MD",1.19149788053,1,2000
34013000198,35084,"Newark, NJ-PA",1.19167643609,1,2000
06037600801,31084,"Los Angeles-Long Beach-Glendale, CA",1.19716681019,1,2000
36029006602,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1.19905286978,1,2000
51760000503,40060,"Richmond, VA",1.19953949857,1,2000
06037002656,31084,"Los Angeles-Long Beach-Glendale, CA",1.20021255372,1,2000
06037001256,31084,"Los Angeles-Long Beach-Glendale, CA",1.20138740264,1,2000
36005000307,35614,"New York-Jersey City-White Plains, NY-NJ",1.20237191626,1,2000
55079000702,33340,"Milwaukee-Waukesha-West Allis, WI",1.20277057336,1,2000
21117000648,17140,"Cincinnati, OH-KY-IN",1.20305610228,1,2000
55079000907,33340,"Milwaukee-Waukesha-West Allis, WI",1.20648283429,1,2000
25021004012,14454,"Boston, MA",1.20739727749,1,2000
40109001007,36420,"Oklahoma City, OK",1.20851585794,1,2000
42045004045,37964,"Philadelphia, PA",1.20878803158,1,2000
