year,cbsa,county,geoid,hri,interval
2000,19124,48113,48113019301,1.2748152849,1
2000,30700,31109,31109000025,1.27496228322,1
2000,17460,39035,39035001408,1.27611759725,1
2000,14860,09001,09001000224,1.27662426363,1
2000,31084,06037,06037001942,1.27682188832,1
2000,47380,48309,48309002498,1.27785806862,1
2000,10580,36001,36001001801,1.27812778816,1
2000,41180,29189,29189002166,1.27815476387,1
2000,35614,36061,36061000281,1.28001386974,1
2000,41740,06073,06073000107,1.28109667335,1
2000,19804,26163,26163005421,1.28340602002,1
2000,45060,36067,36067000050,1.28399824478,1
2000,37964,42101,42101000274,1.2841967475,1
2000,40380,36055,36055000126,1.28540455197,1
2000,15764,25017,25017003743,1.28550840663,1
2000,36540,31055,31055000050,1.28572218646,1
2000,36084,06001,06001004080,1.28592441765,1
2000,31540,55025,55025000101,1.28773261015,1
2000,19804,26163,26163005011,1.28787223951,1
2000,31140,21111,21111000085,1.29063319547,1
2000,15380,36029,36029009501,1.29337304264,1
2000,17460,39035,39035187104,1.29545704869,1
2000,49660,39099,39099008114,1.29550302797,1
2000,31700,33011,33011000101,1.29697157395,1
2000,31700,33011,33011000101,1.29697157395,1
2000,33460,27053,27053001113,1.29976733826,1
2000,48620,20173,20173000020,1.30381466335,1
2000,41884,06075,06075000308,1.30545051122,1
2000,12420,48453,48453000604,1.30595577071,1
2000,15764,25017,25017003384,1.30778947695,1
2000,45060,36067,36067000009,1.30800874489,1
2000,35614,36061,36061000140,1.3083520502,1
2000,12060,13121,13121000095,1.30946182324,1
2000,36420,40109,40109001003,1.31060453579,1
2000,36420,40109,40109001015,1.31352847478,1
2000,31084,06037,06037004607,1.31401128127,1
2000,21340,48141,48141001502,1.31536469409,1
2000,19780,19153,19153000032,1.31614084448,1
2000,16974,17031,17031001203,1.31662325024,1
2000,35614,36119,36119002204,1.31689016061,1
2000,31084,06037,06037262303,1.31770041921,1
2000,17140,21037,21037052301,1.319358711,1
2000,19124,48113,48113000044,1.32203439437,1
2000,35614,36119,36119000042,1.32492041817,1
2000,41180,29510,29510001141,1.32550833032,1
2000,18140,39049,39049006430,1.3275184425,1
2000,33460,27053,27053001115,1.32812336875,1
2000,14454,25021,25021004163,1.3310286665,1
2000,36540,31055,31055000043,1.33116139926,1
2000,38300,42003,42003001404,1.33181883071,1
2000,40060,51760,51760000504,1.33452552459,1
2000,17460,39035,39035153106,1.33597164596,1
2000,30460,21067,21067000006,1.33645155674,1
2000,35084,34013,34013000150,1.3400194777,1
2000,48540,54069,54069000016,1.34242144441,1
2000,35084,34013,34013000200,1.34433780378,1
2000,35084,34013,34013000179,1.34501705743,1
2000,17460,39035,39035140202,1.34542902365,1
2000,11700,37021,37021000005,1.35437993054,1
2000,36084,06001,06001004001,1.35636936085,1
2000,17460,39035,39035001234,1.3571753903,1
2000,33860,01101,01101000014,1.35753373423,1
2000,31084,06037,06037189702,1.35756704178,1
2000,45940,34021,34021000013,1.35778260477,1
2000,33340,55079,55079000037,1.35806710361,1
2000,26900,18097,18097003610,1.36185359401,1
2000,33874,42091,42091201608,1.36195087312,1
2000,13820,01073,01073010802,1.36433766881,1
2000,31084,06037,06037001893,1.36461349957,1
2000,17460,39035,39035177404,1.36558545014,1
2000,35380,22051,22051000226,1.36566343246,1
2000,16860,47065,47065000120,1.36822487972,1
2000,17460,39035,39035001601,1.37165244142,1
2000,41740,06073,06073008102,1.37286367091,1
2000,35614,36061,36061000287,1.37357541179,1
2000,39300,44007,44007000134,1.37390170667,1
2000,12580,24510,24510002712,1.37396221053,1
2000,18140,39049,39049004610,1.37536981756,1
2000,17460,39035,39035183402,1.37575563369,1
2000,35614,36061,36061000100,1.3769445226,1
2000,44060,53063,53063000042,1.37716690972,1
2000,21500,42049,42049000029,1.37740317611,1
2000,19804,26163,26163005505,1.37740907974,1
2000,18140,39049,39049002750,1.37835079958,1
2000,20260,27137,27137000010,1.37935034843,1
2000,46140,40143,40143000032,1.38034119136,1
2000,16974,17197,17197008827,1.38171304463,1
2000,35614,36085,36085016902,1.38184630811,1
2000,35614,36061,36061000086,1.38500887011,1
2000,19340,19163,19163000131,1.3854037538,1
